id,text,Oppose
1051828626214121472,tina tchen explains how metoo has worked — and how far it has to go httpstcoacmphsyxzo,1
1051979837383077889,mo state student allegedly raped hours after attending a metoo rally liberty man charged,0
1051732893674946560,kangana questions otherwiseproactive shabana ’ s visible silence on metoo httpstcorwneigrmww,0
1054293110551851008,arjun sarjas fatherinlaw rajesh makes allegations against actor chetan video link ► httpstcoorbqitkjrg arjunsarja arjunsarjafatherinlaw actorrajesh actorchetan metoo sruthihariharan kannadaonlinenews kannadalivenews video,1
1051648363823685633,michelle obama vs melania trumps views on metoo couldnt be more different bustle,0
1051146915570753536,metoo inspires wave of old misconduct reports to colleges,0
1051219867049844736,metoo setback austrian politician convicted of libel for accusing man of sexual harassment on facebook,0
1048930172316143616,experience project metoo shutting down 🆕,0
1052015094203342848,whitehousepainting metoo seems odd as only one woman found symbolically in the background is present moreover almost every man on the canvas is joyful except couple top right the woman is either dejected joyless or expressionless,0
1051315471390334976,why these women shared anonymous metoo accounts on twitter and how they verified the allegations,0
1056500374696312833,ronnie screwvala metoo movement will make system more transparent,1
1051589446771113984,ahead of ohsendebate heres some of recent enquirer stories columns trump threat why metoo attack on sherrod brown could really be about exaccountant tries to trump himself about httpstcoguirodrtak,0
1051003632689270784,as metoo is hitting a chord in china dozens of chinese women have come forward to share their experiences of sexual assault and harassment on wechat and weibo taken together the posts depict sexual assault as virtually omnipresent …,0
1051870993596276736,empathsuper adamputnam yes been told a lot narcs attorney recommends this pi clients narc met this unlicensed pi at mall paid him cash i was stalked for a yr my vehicles were gpsd a felony they r all going held legally accountable this is all going in my book metoo timesup,0
1051748497202921472,theres no escape weinstein accusers on hope and despair in the metoo era,0
1051990889189404672,keith ellison argues for due process in metoo as race tightens,1
1051210506994966529,perry there was no political lynching but aurora rep jovanmelton has been wronged — and he should resign copolitics coleg metoo cogov,0
1055580217702563840,sruthihariharan people are not stupid in karnataka like the ones in kerala growup or you would be best example why metoo failed miserably in india savekfifromsruthi,1
