id,text,Sarcasm
1050676830116573184,just heard mms will be tweeting about his years of metoo at the hands of youknowwho shortly 😂😁😂😁😂😁,1
1052237153789390853,new post domestic violence awareness hasnt caught up with metoo new york times has been published on might get fit,0
1052177384345079809,how men can stay safe during the metoo movement bloggers lbloggers fbloggers bbloggers bloggerstribe bloggerbabesrt blackswhoblog bloggerkind beechat theclqrt gwbchat qualityblogrt melaninbloggers usbloggerrt httpstcosaadvhelyk,0
1049992712122859520,powerful men have changed their behaviour at work since metoo,0
1050327679948312576,brocklesnitch sex pest allegations 🤔 auspol arias metoo billkavanaugh brettshorten trump alanjones aclennell abcaustralia rnbreakfast billshortenmp kochieonline karlstefanovic thetodayshow bowenchris angustaylormp skynewsaust kierangilbert,0
1051892368356589568,metoo sexual assault awareness womens short sleeve tshirt httpstconptkfwcfnt,0
1051810953610825730,breitbartnews alrighty then should be fun biden hairsniffer handsyjoe weirdo disgustingperv metoo,0
1052264394082594816,this week ’ s turnouttuesday falls during the one year anniversary of the moment metoo went viral amp millions of survivors came forward to share their truth today i honor those who did not survive sayhername iremembernicole voteforourlives nomorenicoles metoooneyearlater,0
1055397717000835072,ncwindia sharmarekha indianexpress ministrywcd voices about metoo are getting louderwe need solutions too for providing safe workplaces mahilabolindia ’ s largest initiative to end sexual harassmentspread across languages covering months reached more than lac women in partnership with un amp goi,1
1054349150018428930,most indians still haven ’ t accepted the difference between personal choice and social profligacy says actress model quizzer and former miss madras kasthurishankar as she writes about the metoo movement in her column in chennai times tomorrow,1
1051734588832276480,extra hands awesome help via seeker ai robotics innovation bigdata machinelearning blockchain metoo life love larissamanoelaig iot ikoninmanila thewalkingdead tech vr doctorwho xfactor,0
1051988942726152192,alyssamilano voice of fakeness you mean metoo is fake,0
1052284335351652353,one year after metoo where do we go from here,0
1052183746344960000,mother nature ’ s metoo,0
1055042152626040832,mami drops metoo accused directors film from fest lineup,1
1049452243651420160,emilyslist billshortenmp ritapanahi sharrimarkson jccampbell not here to judge shorten hypocrisy qld labor treasurer jackietrad calls out brettkavanaugh in a tweet but not billshortenmp shows metoo and emilyslist in australia are nothing more than political tools ignoring left wing misogyny auspol qldpol couriermail triplej,1
1052005980899180545,trump lawyer declares “ total victory ” stormy daniels files appeal over lawsuit metoo breakingnews,0
1055428874178363392,metoo somebody tried to rape me says alia bhatt ’ s mother soni razdan,1
1048606748746166273,other ways to heal when you can ’ t tell your metoo story,1
1052099101364342784,rachmuth j streets metoo problem via the daily wire,0
1052092141806047234,charlizeafrica on why its important for people to keep talking about metoo,0
1051928080275726337,metoo merch on this night christmas metoo timesup news,0
1052291107726315520,via metoo mania accused,0
1051801566699802624,👩🏽‍💻 i ’ m not in competition with anyone i hope we all make it type ‘ yes ’ in the comments below if you agree 💫 ✅😇🙏🏽🌸👠💋💵👛🗝 smartgirlceo pyeagency ladyboss girlboss bosslady blackgirlsrock girlpower blackgirlmagic essence metoo vote mondaymotivation,0
1056353068760162305,side effects of metoo httpstcoywkgnsvxgl,1
1051783807404318720,metoo movement mj akbar files criminal defamation case against woman journalist who accused him of sexual harassment,0
1054390739726229510,metoo fully support genuine cases says exassam cm,1
