,id,text,Support
0,1050254989820657664,aamir steps away from film following metoo upshot bollywood superstar aamir khan on wednesday stepped away from a film as “ someone ” associated with it has been accused of sexual misconduct aamir and his wife kiran rao who run production company aam…,0
1,1049974119553478657,in an age of metoo and amidst the ongoing brett kavanaugh controversy we speak to feminist laura kipnis who doesnt hold back when she critiques the way claims of sexual misconduct are dealt with on american campuses,0
2,1050214889560494082,after metoo do we need women only colleges more than ever r rehman,0
3,1050170928737464320,metoo here ’ s why padma lakshmi did not talk about being raped for years via indianexpress lifestyle,0
4,1050272679222218752,widows director steve mcqueen spoke to sky news about how much has changed for women in the film industry a year on from metoo read more about the metoo movement here,0
5,1049948321593401344,sack the tharki editor metoo httpstcoezuedeogxr,0
6,1050011632846295041,metoo accusers need hard evidence,0
7,1049990874602622976,banishing the mental health stigma in the workplace worldmentalhealthday itsoknottobeok mentalhealth metoo timesup,0
8,1050176182774259712,questions we asked bollywood on metoo,0
9,1049970365563310081,what himtoo ’ s mum and son memes teach us about how to rescue online reputation publicrelations metoo httpstcoexqumloebx httpstcoizfqzycjtb,0
10,1049955471983964160,one year of metoo how the movement eludes government surveillance in china httpstcoesrfvtzrcr,0
11,1050146081365995520,vairamuthu chinmayi balaji there is no better lyrist than vairamuthuyou can highlight this song the words you hear and the words you see at the right moment of this seconds video tells all all for money only not written with actual feelingis a lyrist metoo vairamuthu chinmayi httpstcojlfygumtie,0
12,1050081161970511872,melania trump says metoo women should back allegations with evidence,0
13,1050039897401188352,in the time of metoo and the year of the woman mormon church president tells women to get off social media for washington post,0
14,1050035278319116288,is it even possible to have a metoomovement in india is our society mature enough to understand what the movement is all about a lot of women are taking up genuine victims time for their of fame a mutual conversation is not harassment shame metooindia metoo,0
15,1049949034645991426,it ’ s world mental health day look after your wellbeing 💚 wellbeing metoo mentalhealth,0
16,1050272306864345088,metoo uk stars give £ to sexual harassment victims httpstcoixspnaravs,0
17,1050107121474461697,ayeshahazarika and helena kennedy thehkf both making the same point here metoo that things have not got better and we all men and women feminists have a fight on our hands to create a better equal world evewasshamed,0
18,1050035891694125057,polpette were classy people meet klimat lund metoo food delicious stockholm sweden swedishfood wednesdaywisdom opinionlive nyheter,0
19,1050160357971517442,singer abhijeet calls metoo girls fat and ugly says he doesn ’ t want to give them attention httpstcocgvxnpxjio,0
20,1049955479361732608,one year of metoo a younger generation ’ s remedy for rage,0
21,1050101174743883776,bollywood director denies metoo claims threatens filmmakers gulf times,0
22,1050260812659601408,join us on the worlds biggest breakfast program bbcworldservice newsday me amp karniesharp latest from florida hurricanemichael we speak to dancehall legend carlenesmith on taking metoo to jamaica amp palomafaith on dayofthegirl un,0
23,1050268674358038528,dave chappelle wishes metoo movement would speak to black women more says he ’ s glad he quit ‘ chappelle ’ s show ’,0
24,1049955485707714572,one year of metoo “ he said she said ” is a literary problem too,0
25,1050270001754767361,remember when patisserievalerie was that amazing little bakery in frith st soho yes metoo,0
26,1050281744610586624,president trump mocks the metoo movement at a rally again,0
27,1049963838735572992,getting political on the blog today kavanaugh blaseyford metoo trump scotus,0
28,1050004896764715008,metoo does this thing not encourage harassment and sexuality in work place httpstcoxloojvnxvm,0
